Channel			  :,CH1
Frequency			  :,F=3.021MHz
Period 			  :,T=320.0ns
PK-PK				  :,Vpp=2.020V
Average			  :,V=50.47mV
Vertical pos		  :,0.00mV
Probe attenuation	  :,1X
Voltage per ADC value:,20.00mV
Time interval		  :,0.02uS

index,CH1_Voltage(mV)
0,260.00
1,420.00
2,640.00
3,840.00
4,980.00
5,1100.00
6,1080.00
7,980.00
8,840.00
9,640.00
10,440.00
11,280.00
12,180.00
13,160.00
14,240.00
15,400.00
16,600.00
17,800.00
18,980.00
19,1060.00
20,1080.00
21,1000.00
22,860.00
23,660.00
24,440.00
25,280.00
26,180.00
27,160.00
28,240.00
29,380.00
30,600.00
31,780.00
32,980.00
33,1080.00
34,1080.00
35,1020.00
36,880.00
37,660.00
38,460.00
39,300.00
40,180.00
41,160.00
42,220.00
43,360.00
44,560.00
45,760.00
46,940.00
47,1060.00
48,1080.00
49,1020.00
50,900.00
51,700.00
52,500.00
53,320.00
54,180.00
55,160.00
56,220.00
57,360.00
58,560.00
59,740.00
60,940.00
61,1040.00
62,1080.00
63,1040.00
64,920.00
65,720.00
66,500.00
67,320.00
68,200.00
69,160.00
70,200.00
71,320.00
72,520.00
73,740.00
74,920.00
75,1040.00
76,1100.00
77,1060.00
78,920.00
79,740.00
80,520.00
81,320.00
82,200.00
83,160.00
84,200.00
85,320.00
86,520.00
87,700.00
88,900.00
89,1020.00
90,1080.00
91,1040.00
92,940.00
93,740.00
94,540.00
95,340.00
96,200.00
97,140.00
98,180.00
99,320.00
100,480.00
101,700.00
102,900.00
103,1020.00
104,1100.00
105,1060.00
106,960.00
107,780.00
108,560.00
109,360.00
110,220.00
111,160.00
112,180.00
113,300.00
114,460.00
115,660.00
116,880.00
117,1020.00
118,1080.00
119,1060.00
120,960.00
121,780.00
122,580.00
123,400.00
124,240.00
125,160.00
126,180.00
127,300.00
128,460.00
129,660.00
130,860.00
131,1000.00
132,1080.00
133,1080.00
134,980.00
135,820.00
136,600.00
137,400.00
138,240.00
139,160.00
140,160.00
141,260.00
142,420.00
143,640.00
144,840.00
145,980.00
146,1080.00
147,1080.00
148,980.00
149,840.00
150,640.00
151,420.00
152,260.00
153,160.00
154,160.00
155,260.00
156,400.00
157,620.00
158,820.00
159,980.00
160,1080.00
161,1080.00
162,980.00
163,860.00
164,660.00
165,440.00
166,280.00
167,180.00
168,160.00
169,240.00
170,380.00
171,600.00
172,800.00
173,980.00
174,1080.00
175,1100.00
176,1000.00
177,860.00
178,660.00
179,460.00
180,300.00
181,180.00
182,160.00
183,220.00
184,360.00
185,580.00
186,780.00
187,960.00
188,1060.00
189,1080.00
190,1000.00
191,880.00
192,680.00
193,480.00
194,320.00
195,200.00
196,160.00
197,220.00
198,340.00
199,560.00
200,740.00
201,940.00
202,1040.00
203,1100.00
204,1040.00
205,900.00
206,700.00
207,500.00
208,320.00
209,200.00
210,160.00
211,200.00
212,320.00
213,520.00
214,740.00
215,940.00
216,1040.00
217,1100.00
218,1040.00
219,920.00
220,740.00
221,540.00
222,320.00
223,200.00
224,160.00
225,200.00
226,320.00
227,500.00
228,700.00
229,900.00
230,1020.00
231,1080.00
232,1040.00
233,940.00
234,740.00
235,540.00
236,340.00
237,220.00
238,160.00
239,200.00
240,320.00
241,500.00
242,700.00
243,900.00
244,1040.00
245,1100.00
246,1060.00
247,960.00
248,760.00
249,560.00
250,360.00
251,220.00
252,160.00
253,180.00
254,300.00
255,460.00
256,660.00
257,860.00
258,1000.00
259,1080.00
260,1060.00
261,980.00
262,780.00
263,580.00
264,380.00
265,240.00
266,160.00
267,180.00
268,280.00
269,440.00
270,660.00
271,860.00
272,1000.00
273,1080.00
274,1060.00
275,980.00
276,800.00
277,600.00
278,400.00
279,260.00
280,160.00
281,180.00
282,260.00
283,420.00
284,640.00
285,840.00
286,1000.00
287,1080.00
288,1080.00
289,980.00
290,820.00
291,620.00
292,420.00
293,260.00
294,160.00
295,160.00
296,260.00
297,420.00
298,620.00
299,820.00
300,980.00
301,1080.00
302,1080.00
303,980.00
304,840.00
305,640.00
306,420.00
307,280.00
308,180.00
309,160.00
310,240.00
311,380.00
312,600.00
313,800.00
314,980.00
315,1080.00
316,1080.00
317,1000.00
318,860.00
319,660.00
320,440.00
321,280.00
322,180.00
323,160.00
324,240.00
325,380.00
326,580.00
327,800.00
328,980.00
329,1080.00
330,1100.00
331,1020.00
332,880.00
333,700.00
334,560.00
335,440.00
336,380.00
337,340.00
338,320.00
339,280.00
340,240.00
341,200.00
342,180.00
343,240.00
344,340.00
345,520.00
346,720.00
347,920.00
348,1040.00
349,1040.00
350,960.00
351,720.00
352,440.00
353,160.00
354,-80.00
355,-220.00
356,-220.00
357,-100.00
358,140.00
359,420.00
360,720.00
361,960.00
362,1080.00
363,1080.00
364,960.00
365,720.00
366,440.00
367,160.00
368,-60.00
369,-200.00
370,-220.00
371,-100.00
372,120.00
373,400.00
374,680.00
375,940.00
376,1060.00
377,1080.00
378,980.00
379,760.00
380,480.00
381,180.00
382,-40.00
383,-200.00
384,-220.00
385,-100.00
386,100.00
387,380.00
388,660.00
389,920.00
390,1060.00
391,1080.00
392,980.00
393,760.00
394,500.00
395,220.00
396,-20.00
397,-200.00
398,-240.00
399,-140.00
400,60.00
401,340.00
402,640.00
403,900.00
404,1060.00
405,1100.00
406,1000.00
407,800.00
408,540.00
409,240.00
410,0.00
411,-180.00
412,-220.00
413,-140.00
414,40.00
415,320.00
416,620.00
417,880.00
418,1040.00
419,1100.00
420,1000.00
421,820.00
422,560.00
423,260.00
424,0.00
425,-180.00
426,-220.00
427,-140.00
428,40.00
429,320.00
430,600.00
431,860.00
432,1020.00
433,1100.00
434,1020.00
435,840.00
436,580.00
437,300.00
438,20.00
439,-160.00
440,-220.00
441,-160.00
442,0.00
443,280.00
444,560.00
445,840.00
446,1020.00
447,1100.00
448,1040.00
449,860.00
450,620.00
451,320.00
452,40.00
453,-140.00
454,-220.00
455,-180.00
456,0.00
457,260.00
458,540.00
459,820.00
460,1000.00
461,1100.00
462,1040.00
463,880.00
464,640.00
465,320.00
466,60.00
467,-120.00
468,-220.00
469,-180.00
470,-40.00
471,220.00
472,500.00
473,780.00
474,980.00
475,1100.00
476,1060.00
477,920.00
478,660.00
479,360.00
480,100.00
481,-100.00
482,-220.00
483,-200.00
484,-40.00
485,180.00
486,480.00
487,760.00
488,980.00
489,1080.00
490,1060.00
491,940.00
492,680.00
493,380.00
494,120.00
495,-80.00
496,-220.00
497,-200.00
498,-60.00
499,180.00
500,440.00
501,740.00
502,980.00
503,1080.00
504,1080.00
505,960.00
506,720.00
507,420.00
508,140.00
509,-80.00
510,-220.00
511,-220.00
512,-80.00
513,140.00
514,420.00
515,700.00
516,960.00
517,1080.00
518,1080.00
519,960.00
520,720.00
521,440.00
522,160.00
523,-60.00
524,-200.00
525,-220.00
526,-100.00
527,120.00
528,400.00
529,680.00
530,920.00
531,1060.00
532,1080.00
533,980.00
534,760.00
535,480.00
536,200.00
537,-40.00
538,-200.00
539,-240.00
540,-120.00
541,100.00
542,380.00
543,660.00
544,900.00
545,1060.00
546,1100.00
547,980.00
548,800.00
549,520.00
550,240.00
551,-20.00
552,-180.00
553,-240.00
554,-140.00
555,60.00
556,320.00
557,640.00
558,880.00
559,1040.00
560,1080.00
561,1000.00
562,800.00
563,540.00
564,260.00
565,0.00
566,-180.00
567,-240.00
568,-160.00
569,40.00
570,320.00
571,600.00
572,860.00
573,1040.00
574,1100.00
575,1020.00
576,840.00
577,580.00
578,280.00
579,0.00
580,-160.00
581,-220.00
582,-160.00
583,0.00
584,280.00
585,580.00
586,840.00
587,1020.00
588,1100.00
589,1040.00
590,860.00
591,600.00
592,300.00
593,20.00
594,-140.00
595,-220.00
596,-160.00
597,0.00
598,260.00
599,560.00
600,1080.00
601,1040.00
602,880.00
603,640.00
604,320.00
605,60.00
606,-140.00
607,-220.00
608,-200.00
609,-20.00
610,220.00
611,520.00
612,780.00
613,1000.00
614,1100.00
615,1060.00
616,920.00
617,660.00
618,360.00
619,80.00
620,-120.00
621,-220.00
622,-200.00
623,-40.00
624,200.00
625,500.00
626,760.00
627,980.00
628,1080.00
629,1060.00
630,920.00
631,660.00
632,380.00
633,100.00
634,-100.00
635,-220.00
636,-200.00
637,-40.00
638,180.00
639,460.00
640,740.00
641,980.00
642,1080.00
643,1080.00
644,960.00
645,700.00
646,420.00
647,140.00
648,-80.00
649,-220.00
650,-220.00
651,-80.00
652,140.00
653,420.00
654,720.00
655,960.00
656,1080.00
657,1080.00
658,960.00
659,720.00
660,440.00
661,160.00
662,-60.00
663,-200.00
664,-220.00
665,-80.00
666,120.00
667,400.00
668,680.00
669,940.00
670,1060.00
671,1080.00
672,980.00
673,760.00
674,460.00
675,180.00
676,-40.00
677,-200.00
678,-220.00
679,-120.00
680,80.00
681,360.00
682,660.00
683,900.00
684,1060.00
685,1100.00
686,980.00
687,780.00
688,500.00
689,220.00
690,-20.00
691,-180.00
692,-220.00
693,-120.00
694,60.00
695,320.00
696,640.00
697,880.00
698,1040.00
699,1080.00
700,1000.00
701,800.00
702,520.00
703,240.00
704,-20.00
705,-200.00
706,-240.00
707,-140.00
708,40.00
709,320.00
710,620.00
711,880.00
712,1040.00
713,1100.00
714,1020.00
715,820.00
716,560.00
717,280.00
718,0.00
719,-160.00
720,-240.00
721,-160.00
722,20.00
723,280.00
724,580.00
725,840.00
726,1020.00
727,1100.00
728,1020.00
729,860.00
730,600.00
731,300.00
732,20.00
733,-160.00
734,-240.00
735,-180.00
736,0.00
737,260.00
738,560.00
739,820.00
740,1000.00
741,1080.00
742,1040.00
743,880.00
744,640.00
745,320.00
746,60.00
747,-140.00
748,-220.00
749,-140.00
750,40.00
751,320.00
752,640.00
753,860.00
754,980.00
755,940.00
756,760.00
757,480.00
758,180.00
759,-80.00
760,-260.00
761,-300.00
762,-200.00
763,0.00
764,280.00
765,560.00
766,780.00
767,920.00
768,940.00
769,820.00
770,620.00
771,340.00
772,60.00
773,-140.00
774,-280.00
775,-300.00
776,-200.00
777,0.00
778,260.00
779,540.00
780,740.00
781,900.00
782,920.00
783,840.00
784,640.00
785,380.00
786,100.00
787,-120.00
788,-260.00
789,-320.00
790,-220.00
791,-20.00
792,220.00
793,500.00
794,740.00
795,900.00
796,940.00
797,860.00
798,660.00
799,400.00
800,120.00
801,-100.00
802,-260.00
803,-300.00
804,-220.00
805,-40.00
806,200.00
807,480.00
808,720.00
809,880.00
810,940.00
811,860.00
812,660.00
813,420.00
814,160.00
815,-80.00
816,-240.00
817,-300.00
818,-240.00
819,-60.00
820,180.00
821,440.00
822,680.00
823,860.00
824,920.00
825,860.00
826,700.00
827,460.00
828,200.00
829,-40.00
830,-220.00
831,-300.00
832,-240.00
833,-80.00
834,140.00
835,400.00
836,660.00
837,860.00
838,940.00
839,880.00
840,720.00
841,480.00
842,220.00
843,-20.00
844,-240.00
845,-320.00
846,-280.00
847,-100.00
848,120.00
849,380.00
850,660.00
851,840.00
852,940.00
853,900.00
854,740.00
855,520.00
856,240.00
857,-20.00
858,-220.00
859,-300.00
860,-280.00
861,-140.00
862,100.00
863,360.00
864,640.00
865,820.00
866,920.00
867,900.00
868,760.00
869,540.00
870,280.00
871,0.00
872,-180.00
873,-300.00
874,-280.00
875,-140.00
876,80.00
877,340.00
878,620.00
879,820.00
880,920.00
881,920.00
882,760.00
883,560.00
884,300.00
885,20.00
886,-180.00
887,-300.00
888,-300.00
889,-160.00
890,40.00
891,320.00
892,580.00
893,780.00
894,920.00
895,920.00
896,800.00
897,600.00
898,320.00
899,40.00
900,-160.00
901,-280.00
902,-300.00
903,-180.00
904,0.00
905,300.00
906,540.00
907,780.00
908,920.00
909,920.00
910,820.00
911,620.00
912,340.00
913,80.00
914,-140.00
915,-280.00
916,-300.00
917,-200.00
918,0.00
919,260.00
920,520.00
921,760.00
922,900.00
923,940.00
924,840.00
925,640.00
926,360.00
927,100.00
928,-120.00
929,-260.00
930,-300.00
931,-220.00
932,-20.00
933,240.00
934,500.00
935,720.00
936,900.00
937,940.00
938,840.00
939,660.00
940,400.00
941,120.00
942,-100.00
943,-260.00
944,-320.00
945,-240.00
946,-40.00
947,220.00
948,480.00
949,720.00
950,880.00
951,940.00
952,860.00
953,660.00
954,420.00
955,140.00
956,-80.00
957,-260.00
958,-320.00
959,-240.00
960,-60.00
961,180.00
962,460.00
963,700.00
964,880.00
965,940.00
966,860.00
967,680.00
968,440.00
969,180.00
970,-60.00
971,-240.00
972,-300.00
973,-240.00
974,-80.00
975,160.00
976,420.00
977,660.00
978,860.00
979,940.00
980,880.00
981,700.00
982,460.00
983,200.00
984,-40.00
985,-220.00
986,-300.00
987,-260.00
988,-100.00
989,120.00
990,380.00
991,660.00
992,840.00
993,940.00
994,900.00
995,740.00
996,520.00
997,240.00
998,-20.00
999,-220.00
1000,-320.00
1001,-280.00
1002,-120.00
1003,100.00
1004,360.00
1005,640.00
1006,820.00
1007,920.00
1008,900.00
1009,740.00
1010,520.00
1011,260.00
1012,0.00
1013,-200.00
1014,-300.00
1015,-280.00
1016,-140.00
1017,80.00
1018,340.00
1019,620.00
1020,820.00
1021,920.00
1022,920.00
1023,780.00
1024,560.00
1025,300.00
1026,0.00
1027,-180.00
1028,-300.00
1029,-300.00
1030,-160.00
1031,40.00
1032,320.00
1033,600.00
1034,800.00
1035,920.00
1036,920.00
1037,800.00
1038,580.00
1039,320.00
1040,40.00
1041,-160.00
1042,-280.00
1043,-280.00
1044,-180.00
1045,40.00
1046,300.00
1047,560.00
1048,780.00
1049,900.00
1050,920.00
1051,800.00
1052,600.00
1053,320.00
1054,60.00
1055,-160.00
1056,-300.00
