Channel			  :,CH1
Frequency			  :,F=133.0Hz
Period 			  :,T=7.510ms
PK-PK				  :,Vpp=240.0mV
Average			  :,V=3.027mV
Vertical pos		  :,0.00mV
Probe attenuation	  :,1X
Voltage per ADC value:,4.00mV
Time interval		  :,10.00uS

index,CH1_Voltage(mV)
0,-76.00
1,76.00
2,-80.00
3,76.00
4,-92.00
5,96.00
6,-72.00
7,76.00
8,-80.00
9,76.00
10,-84.00
11,80.00
12,-80.00
13,76.00
14,-80.00
15,76.00
16,-80.00
17,76.00
18,-76.00
19,76.00
20,-76.00
21,76.00
22,-100.00
23,92.00
24,-84.00
25,76.00
26,-72.00
27,72.00
28,-80.00
29,80.00
30,-84.00
31,80.00
32,-80.00
33,76.00
34,-72.00
35,80.00
36,-80.00
37,76.00
38,-80.00
39,84.00
40,-80.00
41,76.00
42,-80.00
43,76.00
44,-76.00
45,72.00
46,-88.00
47,84.00
48,-84.00
49,80.00
50,-80.00
51,76.00
52,-76.00
53,76.00
54,-80.00
55,72.00
56,-80.00
57,76.00
58,-92.00
59,80.00
60,-84.00
61,96.00
62,-84.00
63,80.00
64,-76.00
65,76.00
66,-84.00
67,76.00
68,-80.00
69,80.00
70,-80.00
71,80.00
72,-80.00
73,92.00
74,-80.00
75,76.00
76,-80.00
77,76.00
78,-80.00
79,80.00
80,-88.00
81,92.00
82,-80.00
83,76.00
84,-76.00
85,72.00
86,-88.00
87,80.00
88,-96.00
89,84.00
90,-80.00
91,84.00
92,-80.00
93,76.00
94,-80.00
95,76.00
96,-76.00
97,76.00
98,-80.00
99,76.00
100,-84.00
101,84.00
102,-72.00
103,72.00
104,-84.00
105,72.00
106,-92.00
107,84.00
108,-76.00
109,76.00
110,-80.00
111,80.00
112,-80.00
113,84.00
114,-76.00
115,80.00
116,-80.00
117,72.00
118,-80.00
119,76.00
120,-80.00
121,76.00
122,-72.00
123,76.00
124,-80.00
125,76.00
126,-84.00
127,84.00
128,-76.00
129,80.00
130,-80.00
131,76.00
132,-80.00
133,80.00
134,-80.00
135,76.00
136,-76.00
137,72.00
138,-92.00
139,76.00
140,-76.00
141,76.00
142,-76.00
143,80.00
144,-80.00
145,76.00
146,-68.00
147,64.00
148,-76.00
149,80.00
150,-80.00
151,76.00
152,-76.00
153,72.00
154,-76.00
155,72.00
156,-80.00
157,68.00
158,-88.00
159,80.00
160,-84.00
161,80.00
162,-80.00
163,76.00
164,-84.00
165,80.00
166,-76.00
167,76.00
168,-80.00
169,76.00
170,-80.00
171,80.00
172,-72.00
173,72.00
174,-76.00
175,76.00
176,-80.00
177,76.00
178,-72.00
179,76.00
180,-80.00
181,80.00
182,-80.00
183,84.00
184,-84.00
185,76.00
186,-76.00
187,76.00
188,-76.00
189,76.00
190,-80.00
191,80.00
192,-80.00
193,76.00
194,-72.00
195,68.00
196,-88.00
197,80.00
198,-68.00
199,72.00
200,-76.00
201,80.00
202,-80.00
203,76.00
204,-72.00
205,76.00
206,-80.00
207,76.00
208,-88.00
209,84.00
210,-80.00
211,72.00
212,-84.00
213,76.00
214,-80.00
215,84.00
216,-80.00
217,76.00
218,-76.00
219,80.00
220,-80.00
221,76.00
222,-88.00
223,80.00
224,-76.00
225,76.00
226,-72.00
227,76.00
228,-80.00
229,76.00
230,-80.00
231,68.00
232,-80.00
233,76.00
234,-84.00
235,76.00
236,-76.00
237,80.00
238,-84.00
239,72.00
240,-88.00
241,80.00
242,-76.00
243,72.00
244,-80.00
245,68.00
246,-80.00
247,80.00
248,-80.00
249,76.00
250,-76.00
251,68.00
252,-76.00
253,72.00
254,-80.00
255,84.00
256,-72.00
257,72.00
258,-80.00
259,68.00
260,-92.00
261,76.00
262,-76.00
263,72.00
264,-80.00
265,76.00
266,-88.00
267,80.00
268,-68.00
269,68.00
270,-80.00
271,68.00
272,-88.00
273,76.00
274,-76.00
275,72.00
276,-76.00
277,68.00
278,-84.00
279,76.00
280,-80.00
281,68.00
282,-64.00
283,60.00
284,-80.00
285,76.00
286,-88.00
287,76.00
288,-80.00
289,72.00
290,-76.00
291,76.00
292,-92.00
293,80.00
294,-72.00
295,76.00
296,-84.00
297,76.00
298,-76.00
299,80.00
300,-76.00
301,72.00
302,-72.00
303,72.00
304,-84.00
305,76.00
306,-76.00
307,68.00
308,-72.00
309,72.00
310,-80.00
311,80.00
